顺位,用时,开始时间,规则,牌谱,段位,pt,获得pt,R值,1位玩家,1位得点,2位玩家,2位得点,3位玩家,3位得点,4位玩家,4位得点,虚拟段位,虚拟pt,虚拟获得pt,By nodocchi.moe
3位,23分,2014-11-30 10:12,四上南喰赤－,https://tenhou.net/3/?log=2014113011gm-0089-0000-de358834&tw=2,１级,0,0,,NYA..,50.0,スーザンボイルド,13.0,CLS,-23.0,vlado,-40.0,,,
4位,28分,2014-11-30 10:37,四上南喰赤－,https://tenhou.net/3/?log=2014113011gm-0089-0000-c52c67f2&tw=1,１级,0,-30,,転生,50.0,GLINE,5.0,RuiCosta,-22.0,CLS,-33.0,,,
4位,37分,2014-11-30 15:38,四上南喰赤－,https://tenhou.net/3/?log=2014113016gm-0089-0000-6195e930&tw=2,１级,0,-30,,hpevdgh,50.0,puger3,6.0,千羽様,-23.0,CLS,-33.0,,,
3位,15分,2014-11-30 16:20,四上東喰赤－,https://tenhou.net/3/?log=2014113017gm-00c1-0000-61bfa7b7&tw=3,１级,0,0,,のぶさん,57.0,pikachun,7.0,CLS,-14.0,nskw,-50.0,,,
3位,20分,2014-11-30 16:39,四上南喰赤－,https://tenhou.net/3/?log=2014113017gm-0089-0000-d0cff7ed&tw=1,１级,0,0,,ア・ナ・ル,50.0,★性衣大将軍★,4.0,CLS,-17.0,manzoku,-37.0,,,
3位,18分,2014-11-30 17:20,四上東喰赤－,https://tenhou.net/3/?log=2014113018gm-00c1-0000-bb2ddcab&tw=2,１级,0,0,,anias,43.0,地獄待ち,6.0,CLS,-14.0,kyantama,-35.0,,,
4位,10分,2014-11-30 17:38,四上東喰赤－,https://tenhou.net/3/?log=2014113018gm-00c1-0000-64fbe089&tw=3,１级,0,-20,,なつとら,79.0,kyantama,5.0,TAKASI77,-30.0,CLS,-54.0,,,
2位,15分,2014-11-30 18:00,四上東喰赤－,https://tenhou.net/3/?log=2014113019gm-00c1-0000-d793a2ca&tw=0,１级,0,10,,お紺姐さん,50.0,CLS,4.0,takashij,-21.0,.....,-33.0,,,
1位,11分,2014-11-30 18:43,四上東喰赤－,https://tenhou.net/3/?log=2014113019gm-00c1-0000-fe530aab&tw=0,１级,10,40,,CLS,58.0,shad,17.0,FZR250,-25.0,gradrav,-50.0,,,
4位,34分,2014-11-30 18:57,四上南喰赤－,https://tenhou.net/3/?log=2014113019gm-0089-0000-3b9594e4&tw=3,１级,50,-30,,ｂａｋａｂｏｎ,64.0,ATG,4.0,まつみん,-24.0,CLS,-44.0,,,
1位,21分,2014-11-30 19:41,四上東喰赤－,https://tenhou.net/3/?log=2014113020gm-00c1-0000-e439eb13&tw=0,１级,20,40,,CLS,64.0,sodiao,1.0,fornext,-21.0,ゆみ,-44.0,,,
1位,12分,2014-11-30 20:03,四上東喰赤－,https://tenhou.net/3/?log=2014113021gm-00c1-0000-7317ae8a&tw=2,１级,60,40,,CLS,48.0,サイリュウ,4.0,平本保志,-20.0,babylon,-32.0,,,
1位,12分,2014-11-30 20:19,四上東喰赤－,https://tenhou.net/3/?log=2014113021gm-00c1-0000-32be1fcf&tw=2,初段,200,40,,CLS,58.0,NoNam159,4.0,はなこターボ,-22.0,huyyyyy,-40.0,,,
1位,10分,2014-11-30 20:34,四上東喰赤－,https://tenhou.net/3/?log=2014113021gm-00c1-0000-b813abdf&tw=3,初段,240,40,,CLS,50.0,"Yoshi,@",19.0,たか＠ニコ生主,-19.0,vito_sid,-50.0,,,
3位,9分,2014-11-30 21:00,四上東喰赤－,https://tenhou.net/3/?log=2014113022gm-00c1-0000-ebff3800&tw=1,初段,280,0,,龍憐真愛,41.0,JIGEN999,7.0,CLS,-16.0,yuki1953,-32.0,,,
1位,8分,2014-11-30 21:10,四上東喰赤－,https://tenhou.net/3/?log=2014113022gm-00c1-0000-be7b1224&tw=0,初段,280,40,,CLS,43.0,ル・ピエロ,7.0,あざらし,-16.0,o-parts,-34.0,,,
1位,9分,2014-11-30 21:19,四上東喰赤－,https://tenhou.net/3/?log=2014113022gm-00c1-0000-c5ed8f4d&tw=3,初段,320,40,,CLS,55.0,ぴっか,11.0,radhisyu,-27.0,kashi36,-39.0,,,
4位,17分,2014-11-30 22:27,四上東喰赤－,https://tenhou.net/3/?log=2014113023gm-00c1-0000-d6f64b0d&tw=3,初段,360,-30,,ツキ係数,42.0,こくしむとう,8.0,みさみさ,-18.0,CLS,-32.0,,,
3位,16分,2014-11-30 22:54,四上東喰赤－,https://tenhou.net/3/?log=2014113023gm-00c1-0000-a8715c60&tw=1,初段,330,0,,ツモ切り８索斎,45.0,phagein,14.0,CLS,-17.0,広島の人,-42.0,,,
2位,8分,2014-11-30 23:10,四上東喰赤－,https://tenhou.net/3/?log=2014120100gm-00c1-0000-b7845912&tw=0,初段,330,10,,bibu,48.0,CLS,11.0,シーマ1866,-22.0,ブギーナイト,-37.0,,,
1位,10分,2014-11-30 23:33,四上東喰赤－,https://tenhou.net/3/?log=2014120100gm-00c1-0000-1c4cdc4e&tw=1,初段,340,40,,CLS,47.0,+blood+,4.0,janki,-20.0,mato-09,-31.0,,,
3位,15分,2014-12-01 22:32,四上東喰赤－,https://tenhou.net/3/?log=2014120123gm-00c1-0000-c695fb86&tw=0,初段,380,0,,愚,43.0,ビワコ,6.0,CLS,-17.0,即つものり,-32.0,,,
2位,10分,2014-12-01 22:47,四上東喰赤－,https://tenhou.net/3/?log=2014120123gm-00c1-0000-1f4449db&tw=0,初段,380,10,,☆ちゅうそん☆,43.0,CLS,4.0,susen,-17.0,倉田厚,-30.0,,,
4位,10分,2014-12-01 22:58,四上東喰赤－,https://tenhou.net/3/?log=2014120123gm-00c1-0000-53c0afe1&tw=3,初段,390,-30,,kazu1210,41.0,メグ,11.0,６月１日,-17.0,CLS,-35.0,,,
1位,15分,2014-12-01 23:09,四上東喰赤－,https://tenhou.net/3/?log=2014120200gm-00c1-0000-e5bbe895&tw=1,初段,360,40,,CLS,44.0,BDW272,5.0,江戸川マルチネス,-15.0,肘アマゾン,-34.0,,,
1位,12分,2014-12-01 23:42,四上東喰赤－,https://tenhou.net/3/?log=2014120200gm-00c1-0000-510f432f&tw=3,二段,400,40,,CLS,52.0,真行寺日向,12.0,TOM88,-22.0,たけ,-42.0,,,
1位,10分,2014-12-02 21:41,四上東喰赤－,https://tenhou.net/3/?log=2014120222gm-00c1-0000-cae36467&tw=1,二段,440,40,,CLS,42.0,はなこターボ,6.0,βアミラーゼ,-18.0,squll014,-30.0,,,
2位,15分,2014-12-02 21:52,四上東喰赤－,https://tenhou.net/3/?log=2014120222gm-00c1-0000-9272c2f0&tw=0,二段,480,10,,ユニシア,65.0,CLS,-1.0,天丼屋,-22.0,3441,-42.0,,,
